Class;fClass;A00Amount;A00Amount100;A01Duration;A02Age;A03IRP;A04ResDur;A05NumExCred;A06NumPeopMaint;A07Teleph;A08FrgnWork;A09CheckAccStat;A10History;A11Purpose;A12Savings;A13EmployDurat;A14Personal;A15Gender;A16OtherDebtGuar;A17Property;A18OtherInstallPlan;A19Housing;A20Job;fA07Teleph;fA08FrgnWork;fA09CheckAccStat;fA10History;fA11Purpose;fA12Savings;fA13EmployDurat;fA14Personal;fA15Gender;fA16OtherDebtGuar;fA17Property;fA18OtherInstallPlan;fA19Housing;fA20Job;Training
0;Good;1169;11,69;6;67;4;4;2;1;1;1;1;4;3;4;4;2;1;0;0;2;1;2;Yes;Yes;<0;critical account/other credits existing (not at this bank);radio/TV;unknown/no savings account;>=7;male: single;male;none;real estate;none;own;skilled employee/official;0
1;Bad;5951;59,51;48;22;2;2;1;1;0;1;2;2;3;0;2;0;0;0;0;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;[1,4);female;female;none;real estate;none;own;skilled employee/official;0
0;Good;2096;20,96;12;49;2;3;1;2;0;1;0;4;6;0;3;2;1;0;0;2;1;1;No;Yes;No;critical account/other credits existing (not at this bank);education;<100;[4,7);male: single;male;none;real estate;none;own;unskilled, resident;0
0;Good;7882;78,82;42;45;2;4;1;2;0;1;1;2;2;0;3;2;1;2;1;2;2;2;No;Yes;<0;existing credits paid back duly till now;furniture/equipment;<100;[4,7);male: single;male;guarantor;building society savings agreement/life insurance;none;for free;skilled employee/official;1
1;Bad;4870;48,7;24;53;3;4;2;2;0;1;1;3;0;0;2;2;1;0;3;2;2;2;No;Yes;<0;delay in paying off in the past;car (new);<100;[1,4);male: single;male;none;unknown/no property;none;for free;skilled employee/official;1
0;Good;9055;90,55;36;35;2;4;1;2;1;1;0;2;6;4;2;2;1;0;3;2;2;1;Yes;Yes;No;existing credits paid back duly till now;education;unknown/no savings account;[1,4);male: single;male;none;unknown/no property;none;for free;unskilled, resident;1
0;Good;2835;28,35;24;53;3;4;1;1;0;1;0;2;2;2;4;2;1;0;1;2;1;2;No;Yes;No;existing credits paid back duly till now;furniture/equipment;[500,1000);>=7;male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
0;Good;6948;69,48;36;35;2;2;1;1;1;1;2;2;1;0;2;2;1;0;2;2;0;3;Yes;Yes;[0, 200);existing credits paid back duly till now;car (used);<100;[1,4);male: single;male;none;car or other;none;rent;management/self-employed/highly qualified employee/officer;1
0;Good;3059;30,59;12;61;2;4;1;1;0;1;0;2;3;3;3;1;1;0;0;2;1;1;No;Yes;No;existing credits paid back duly till now;radio/TV;>=1000;[4,7);male: divorced/separated;male;none;real estate;none;own;unskilled, resident;1
1;Bad;5234;52,34;30;28;4;2;2;1;0;1;2;4;0;0;0;3;1;0;2;2;1;3;No;Yes;[0, 200);critical account/other credits existing (not at this bank);car (new);<100;unemployed;male: married/widowed;male;none;car or other;none;own;management/self-employed/highly qualified employee/officer;1
1;Bad;1295;12,95;12;25;3;1;1;1;0;1;2;2;0;0;1;0;0;0;2;2;0;2;No;Yes;[0, 200);existing credits paid back duly till now;car (new);<100;<1;female;female;none;car or other;none;rent;skilled employee/official;1
1;Bad;4308;43,08;48;24;3;4;1;1;0;1;1;2;8;0;1;0;0;0;1;2;0;2;No;Yes;<0;existing credits paid back duly till now;business;<100;<1;female;female;none;building society savings agreement/life insurance;none;rent;skilled employee/official;0
