Name,Country,Finished,Total.points,Run.100.m,Long.jump,Shot.put,High.jump,Run.400.m,Obstacle.course.110.m,Discus.throw,Pole.vault,Javelin.throw,Run.1500.m,Points.100.m,Points.long.jump,Points.shot.put,Points.high.jump,Points.400.m,Points.obstacle.course,Points.discus.throw,Points.pole.vault,Points.javelin.throw,Points.1500.m
Andreev Pavel,UZB,0,5456,"11,29",,"14,3",2,"51,64","15,54","41,89","4,9",,,797,0,747,803,741,785,703,880,0,0
Dvorak Tomas,CZE,0,746,"11,53",,,,,,,,,,746,0,0,0,0,0,0,0,0,0
Leyckes Dennis,GER,0,3056,"11,05","7,05","12,84","1,91",,,,,,,850,826,657,723,0,0,0,0,0,0
Llanos Luiggy,PUR,0,5737,"10,94","7,43","13,77","1,91","49,28","14,13","41,82",,,,874,918,714,723,848,958,702,0,0,NA
Lobodin Lev,RUS,0,1631,"11,05","6,86",,,,,,,,,850,781,0,0,0,0,0,0,0,0
Magnusson Jon Arnar,ISL,0,2480,"11,05","7,12","14,98",,,,,,,,850,842,788,0,0,0,0,0,0,0
Moussa Ahmad Hassan,QAT,0,3936,"10,79","7,04","13,32","1,82","48,73",,,,,,908,823,687,644,874,0,0,0,0,0
Pappas Tom,USA,0,6182,"10,8","7,38","16,17","2,03","47,97","14,18","47,39",,,,906,905,862,831,911,951,816,0,0,0
Rahnu Kristian,EST,0,1668,"10,77",,"14,45",,,,,,,,912,0,756,0,0,0,0,0,0,0
Averyanov Nikolay,RUS,1,8021,"10,55","7,34","14,44","1,94","49,72","14,39","39,88","4,8","54,51",4:31.02,963,896,755,749,828,925,662,849,656,738
Barras Romain,FRA,1,8067,"11,14","6,99","14,91","1,94","49,41","14,37","44,83","4,6","64,55",4:27.09,830,811,784,749,842,927,763,790,807,764
Bernard Claston,JAM,1,8225,"10,69","7,48","14,8","2,12","49,13","14,17","44,75","4,4","55,27",4:36.31,931,930,777,915,855,953,762,731,667,704
Casarsa Paolo,ITA,1,7404,"11,36","6,68","14,92","1,94","53,2","15,39","48,66","4,4","58,62",4:56.12,782,739,785,749,673,803,843,731,717,582
Clay Bryan,USA,1,8820,"10,44","7,96","15,23","2,06","49,19","14,13","50,11","4,9","69,71",4:41.65,989,1050,804,859,852,958,873,880,885,670
