"","Earning99","Unempl","Unempl2","Unempl3","BuyingPower","X.Progre","Enterpr","Lifex","Divorce","Abortion","Pop","Crime","Grow.","Migr","Pop65"
"CapitalPraha",17437,3.4,4.5,25.2381825,135,278.6,223,73.25,55.0982361,54.7,0,100.981444,-2.82480132,0.81670944,16.339991
"Benešov",11348,3.5,2.3,12.8395062,96,230.1,161,71.9,43.9914163,52.3,43.4,32.4395634,-2.45757294,0.782923738,14.8506587
"Beroun",12287,5,3.9,35.1222104,100,238.8,161,71.75,50.877193,55.2,52.7,48.0331977,-0.335775336,3.0126878,14.5264773
"Kladno",12307,9.8,9.4,40.5066777,100,251.7,132,71.5,60.7013301,63.5,28.2,41.1024438,0.860988102,2.94309876,13.9771013
"Kolín",11785,9.8,8,37.8341946,97,243.1,149,72.1,44.7513812,51.8,50.7,37.5675336,-2.51103523,1.36274673,15.4364382
"Kutná Hora",10919,11.3,21.4,39.3077874,98,226.6,152,72.5,57.6576577,54.5,40.1,38.0836013,-2.05565369,0.456954151,14.7599006
"Mìlník",13281,7.4,9.8,35.4686633,101,239,160,71.85,69.2007797,61.6,40.2,62.2800919,0.631614525,1.85681996,13.4241327
"Mladá Boleslav",15146,3.2,1.8,29.1105121,104,226.7,155,72.05,55.7142857,42.4,30.9,59.5940335,0.513683386,2.13841853,13.5855278
"Nymburk",11320,8.9,4.9,39.9251737,99,241.8,175,72.15,53.1120332,42.6,44.1,35.9665632,-0.498585096,3.66037412,15.4315043
"Praha-východ",14006,3,0.8,15.3846154,110,249.3,187,72.45,51.4231499,50.5,46.5,63.3040418,2.19384378,5.35875096,14.6736979
"Praha-západ",13876,2.8,1.5,20.1230228,112,251.4,199,72.05,54.2713568,44.7,54.5,59.9102497,8.10502283,11.5801211,14.7545128
"Pøíbram",10951,8.3,6.1,34.7789116,95,234.9,170,71.95,55.141844,45.9,39.6,42.8321841,-1.28822984,0.190917516,13.7564466
"Rakovník",11129,8.6,14.4,37.7221325,95,234.9,150,71.35,55.5944056,47.6,59.1,41.1289126,-2.6630666,0.802618682,14.3668665
"Èeské Budìjovice",13239,4.4,8.1,21.2354255,102,246.5,166,73.15,49.3371212,56.7,23.2,38.7234401,3.07123024,3.2317475,13.1716811
"Èeský Krumlov",11567,8.7,10.5,34.915498,95,227.4,153,71.75,50.5235602,65.2,34.7,30.1706692,3.36927224,0.854686274,10.3804128
"Jindøichùv Hradec",10670,4.9,4.7,23.9948674,91,220.6,135,72.45,51.3347023,43.8,32.6,24.8949378,0.439637645,0.851598344,13.8164148
"Pelhøimov",10203,4,4.9,15.9214092,92,219.9,136,73,42.0765027,39.5,40.8,18.605909,-1.56697853,0.0500243362,14.8114001
