"","ownhh","getmar"
"1",2,4
"2",2,5
"3",3,3
"4",1,3
"5",2,3
"6",4,5
"7",2,2
"8",2,3
"9",1,4
"10",2,3
"11",1,1
"12",4,5
"13",2,5
"14",2,4
"15",5,1
"16",3,1
"17",1,5
"18",3,4
"19",3,2
"20",3,2
"21",2,4
"22",1,2
"23",4,5
"24",4,2
"25",3,3
"26",2,3
"27",3,5
"28",5,1
"29",3,1
"30",1,4
"31",2,1
"32",2,3
"33",2,3
"34",1,2
"35",1,1
"36",1,4
"37",1,3
"38",1,2
"39",3,4
"40",1,1
"41",3,3
"42",3,5
"43",1,2
"44",1,4
"45",1,1
"46",4,2
"47",2,1
"48",2,3
"49",3,5
"50",2,3
"51",3,1
"52",1,5
"53",3,3
"54",1,1
"55",1,5
"56",2,3
"57",2,5
"58",1,1
"59",1,3
"60",2,2
"61",1,1
"62",3,3
"63",1,4
"64",2,3
"65",3,3
"66",1,3
"67",1,1
"68",1,3
"69",5,4
"70",1,3
"71",1,1
"72",3,2
"73",2,3
"74",3,4
"75",3,4
"76",1,5
"77",1,1
"78",2,2
"79",1,5
"80",4,5
"81",4,3
"82",4,4
"83",1,3
"84",2,3
"85",1,5
"86",1,4
"87",1,1
"88",1,5
"89",2,2
"90",3,3
"91",2,3
"92",1,4
"93",1,4
"94",2,4
"95",2,5
"96",2,4
"97",1,1
"98",5,3
"99",1,5
"100",1,2
"101",2,4
"102",1,5
"103",3,3
"104",2,1
"105",2,1
"106",5,5
"107",1,2
"108",2,3
"109",2,3
"110",3,2
"111",3,4
"112",3,4
"113",1,4
"114",4,4
"115",2,5
"116",2,5
"117",2,4
"118",1,1
"119",2,2
"120",2,1
"121",3,4
"122",2,4
"123",3,5
"124",2,5
"125",4,1
"126",1,3
"127",1,1
"128",1,1
"129",2,4
"130",1,1
"131",4,1
"132",2,4
"133",3,4
"134",2,4
"135",5,5
"136",4,5
"137",4,1
"138",2,3
"139",1,5
"140",1,4
"141",1,4
"142",3,3
"143",1,5
"144",1,5
"145",2,4
"146",3,4
"147",3,2
"148",3,2
"149",3,3
"150",1,1
"151",3,5
"152",2,2
"153",1,4
"154",3,3
"155",5,5
"156",3,3
"157",3,4
"158",3,4
"159",1,5
"160",4,5
"161",2,5
"162",2,4
"163",2,4
"164",4,4
"165",2,2
"166",1,2
"167",3,1
"168",5,5
"169",2,1
"170",1,3
"171",3,2
"172",4,3
"173",2,4
"174",1,5
"175",3,2
"176",3,4
"177",3,3
"178",2,4
"179",1,1
"180",4,1
"181",3,5
"182",4,5
"183",4,5
"184",3,1
"185",3,4
"186",4,4
"187",2,1
"188",4,3
"189",1,5
"190",3,4
"191",2,2
"192",3,1
"193",3,4
"194",3,4
"195",4,3
"196",2,1
"197",1,3
"198",5,3
"199",1,4
"200",2,2
"201",2,1
"202",4,4
"203",4,5
"204",5,4
"205",1,1
"206",1,3
"207",3,1
"208",2,4
"209",3,3
"210",1,5
"211",2,2
"212",3,4
"213",2,3
"214",3,5
"215",1,4
"216",3,1
"217",5,5
"218",1,2
"219",5,4
"220",3,3
"221",3,2
"222",3,3
"223",3,4
"224",3,5
"225",2,4
"226",2,5
"227",3,4
"228",1,4
"229",3,5
"230",4,5
"231",3,4
"232",3,3
"233",1,1
"234",4,5
"235",3,4
"236",2,1
"237",2,1
"238",2,5
"239",1,4
"240",1,1
"241",1,1
"242",4,4
"243",1,5
"244",1,3
"245",3,5
"246",4,3
"247",3,4
"248",1,5
"249",2,2
"250",4,5
"251",4,5
"252",2,1
"253",2,4
"254",1,1
"255",2,4
"256",1,1
"257",2,1
"258",3,3
"259",1,5
"260",2,1
"261",4,5
"262",1,1
"263",4,5
"264",2,1
"265",1,4
"266",2,4
"267",3,1
"268",2,5
"269",4,3
"270",1,1
"271",3,2
"272",4,1
"273",1,4
"274",1,1
"275",1,1
"276",5,1
"277",2,3
"278",2,5
"279",4,1
"280",2,1
"281",1,1
"282",1,5
"283",1,5
"284",1,2
"285",3,3
"286",4,4
"287",4,3
"288",1,2
"289",1,5
"290",3,5
"291",3,1
"292",2,4
"293",3,2
"294",3,5
"295",3,4
"296",4,4
"297",2,5
"298",3,4
"299",3,4
"300",3,4
"301",2,3
"302",1,3
"303",2,2
"304",2,2
"305",3,2
"306",4,4
"307",3,1
"308",3,4
"309",5,4
"310",3,5
"311",3,1
"312",1,1
"313",2,2
"314",2,4
"315",2,1
"316",4,5
"317",5,2
"318",1,1
"319",2,2
"320",1,1
"321",1,4
"322",2,1
"323",2,5
"324",3,1
"325",5,4
"326",4,1
"327",3,4
"328",1,3
"329",2,3
"330",3,1
"331",2,5
"332",1,3
"333",1,1
"334",2,2
"335",3,4
"336",4,1
"337",2,1
"338",2,3
"339",1,1
"340",2,5
"341",2,2
"342",2,3
"343",1,3
"344",4,5
"345",5,5
"346",2,4
"347",2,4
"348",3,2
"349",4,5
"350",4,4
"351",3,5
"352",4,2
"353",2,4
"354",3,4
"355",2,5
"356",1,3
"357",3,4
"358",2,5
"359",3,3
"360",2,1
"361",1,1
"362",3,2
"363",3,5
"364",3,4
"365",3,4
"366",1,3
"367",2,5
"368",2,4
"369",4,5
"370",1,2
"371",1,1
"372",1,5
"373",2,1
"374",4,5
"375",1,5
"376",4,5
"377",1,3
"378",1,3
"379",2,1
"380",2,4
"381",2,2
"382",1,2
"383",2,2
"384",1,5
"385",1,5
"386",4,4
"387",1,1
"388",1,5
"389",1,5
"390",2,1
"391",1,1
"392",1,5
"393",1,3
"394",3,3
"395",3,4
"396",3,3
"397",5,2
"398",3,5
"399",1,5
"400",2,2
"401",2,2
"402",5,1
"403",5,1
"404",3,1
"405",4,5
"406",2,3
"407",1,1
"408",2,1
"409",1,4
"410",5,5
"411",1,1
"412",3,2
"413",1,2
"414",4,2
"415",3,4
"416",1,3
"417",3,3
"418",2,1
"419",1,4
"420",5,1
"421",3,2
"422",2,4
"423",1,1
"424",3,3
"425",4,5
"426",5,1
"427",3,1
"428",3,5
"429",1,2
"430",4,3
"431",2,2
"432",1,4
"433",5,5
"434",1,1
"435",2,1
"436",1,2
"437",1,5
"438",1,3
"439",3,1
"440",2,4
"441",1,1
"442",3,3
"443",5,5
"444",4,4
"445",3,3
"446",3,5
"447",1,1
"448",3,4
"449",2,1
"450",2,1
"451",4,4
"452",3,1
"453",1,4
"454",2,4
"455",3,5
"456",2,5
"457",1,3
"458",3,3
"459",2,2
"460",3,4
"461",1,2
"462",1,1
"463",1,4
"464",3,4
"465",3,4
"466",2,1
"467",1,3
"468",5,5
"469",3,5
"470",1,1
"471",4,1
"472",2,1
"473",2,4
"474",1,1
"475",3,2
"476",1,4
"477",2,5
"478",3,5
"479",2,1
